offset_dec offset_hex byte_hex bits       field
       405 0x00000195 fe       11111110 block.tx[1].vin[0].witness[0].data
       406 0x00000196 79       01111001 block.tx[1].vin[0].witness[0].data
       407 0x00000197 b6       10110110 block.tx[1].vin[0].witness[0].data
       408 0x00000198 2a       00101010 block.tx[1].vin[0].witness[0].data
       409 0x00000199 ad       10101101 block.tx[1].vin[0].witness[0].data
       410 0x0000019a 41       01000001 block.tx[1].vin[0].witness[0].data
       411 0x0000019b c3       11000011 block.tx[1].vin[0].witness[0].data
       412 0x0000019c 28       00101000 block.tx[1].vin[0].witness[0].data
       413 0x0000019d d4       11010100 block.tx[1].vin[0].witness[0].data
       414 0x0000019e 9f       10011111 block.tx[1].vin[0].witness[0].data
       415 0x0000019f 1c       00011100 block.tx[1].vin[0].witness[0].data
       416 0x000001a0 b5       10110101 block.tx[1].vin[0].witness[0].data
       417 0x000001a1 49       01001001 block.tx[1].vin[0].witness[0].data
       418 0x000001a2 02       00000010 block.tx[1].vin[0].witness[0].data
       419 0x000001a3 20       00100000 block.tx[1].vin[0].witness[0].data
       420 0x000001a4 32       00110010 block.tx[1].vin[0].witness[0].data
       421 0x000001a5 95       10010101 block.tx[1].vin[0].witness[0].data
