start,end_exclusive,length,field,wire_hex,interpreted_value
2218,2289,71,block.tx[7].vin[0].witness[0].data,30440220543a8119f166ba020dbca57f2cf23b5c23d616d1db6d6acba5ebc381a3ddf91c02205e6f09c0173d3730b2de462644a5ed60d8243fce0be8b1400c77760c5522d32a01,30440220543a8119f166ba020dbca57f2cf23b5c23d616d1db6d6acba5ebc381a3ddf91c02205e6f09c0173d3730b2de462644a5ed60d8243fce0be8b1400c77760c5522d32a01
2289,2290,1,block.tx[7].vin[0].witness[1].length,21,33
2290,2323,33,block.tx[7].vin[0].witness[1].data,02de08e56bd36f3a50e9378dfce4aa90c8b5544de0f5f4e30be3d0b32cefb2c842,02de08e56bd36f3a50e9378dfce4aa90c8b5544de0f5f4e30be3d0b32cefb2c842
2323,2327,4,block.tx[7].locktime,00000000,0
2327,2331,4,block.tx[8].version,02000000,2
2331,2332,1,block.tx[8].marker,00,0 (SegWit marker)
2332,2333,1,block.tx[8].flag,01,1 (witness present)
2333,2334,1,block.tx[8].input_count,01,1
2334,2366,32,block.tx[8].vin[0].prev_txid_le,3c0fd60d61a5bf61f4bafd1a6409f0eb6c0ce6085a0af7372ce354bcc7cdd624,3c0fd60d61a5bf61f4bafd1a6409f0eb6c0ce6085a0af7372ce354bcc7cdd624
2366,2370,4,block.tx[8].vin[0].prev_vout,06000000,6
2370,2371,1,block.tx[8].vin[0].script_sig_length,00,0
2371,2371,0,block.tx[8].vin[0].script_sig,,
2371,2375,4,block.tx[8].vin[0].sequence,fdffffff,4294967293
2375,2376,1,block.tx[8].output_count,07,7
2376,2384,8,block.tx[8].vout[0].value_satoshi,dca9e70000000000,15182300
2384,2385,1,block.tx[8].vout[0].script_pubkey_length,22,34
2385,2419,34,block.tx[8].vout[0].script_pubkey,51202cff48676f8955adde18249bdd5ea4e22e31d98d70cae366cecbea67b10ed1d9,51202cff48676f8955adde18249bdd5ea4e22e31d98d70cae366cecbea67b10ed1d9
2419,2427,8,block.tx[8].vout[1].value_satoshi,e803000000000000,1000
2427,2428,1,block.tx[8].vout[1].script_pubkey_length,22,34
2428,2462,34,block.tx[8].vout[1].script_pubkey,5120a2d558afa23b2b46e0daa076c4399df5b180020abcd4ab6967a5aa35d0d2e2dc,5120a2d558afa23b2b46e0daa076c4399df5b180020abcd4ab6967a5aa35d0d2e2dc
2462,2470,8,block.tx[8].vout[2].value_satoshi,e803000000000000,1000
2470,2471,1,block.tx[8].vout[2].script_pubkey_length,22,34
2471,2505,34,block.tx[8].vout[2].script_pubkey,51206c8ad0211b2175e11504bf48059d8f66f30c718be40186376b42d90c9b6c568d,51206c8ad0211b2175e11504bf48059d8f66f30c718be40186376b42d90c9b6c568d
2505,2513,8,block.tx[8].vout[3].value_satoshi,e803000000000000,1000
2513,2514,1,block.tx[8].vout[3].script_pubkey_length,22,34
2514,2548,34,block.tx[8].vout[3].script_pubkey,512072e823ae9d26a6b91485df2fb811113d6d0835cfd5801567dc30b301f4a61834,512072e823ae9d26a6b91485df2fb811113d6d0835cfd5801567dc30b301f4a61834
2548,2556,8,block.tx[8].vout[4].value_satoshi,e803000000000000,1000
2556,2557,1,block.tx[8].vout[4].script_pubkey_length,22,34
2557,2591,34,block.tx[8].vout[4].script_pubkey,5120448d051f269abcaa6d3b56ce98e85781ada386cde3fb5d71a2d2073a03d2ef38,5120448d051f269abcaa6d3b56ce98e85781ada386cde3fb5d71a2d2073a03d2ef38
2591,2599,8,block.tx[8].vout[5].value_satoshi,e803000000000000,1000
2599,2600,1,block.tx[8].vout[5].script_pubkey_length,22,34
2600,2634,34,block.tx[8].vout[5].script_pubkey,512017dd4aadcdc72be15bfe55a40707c24ccc17d1a6dd7ce383e456bb4d25944924,512017dd4aadcdc72be15bfe55a40707c24ccc17d1a6dd7ce383e456bb4d25944924
2634,2642,8,block.tx[8].vout[6].value_satoshi,e803000000000000,1000
2642,2643,1,block.tx[8].vout[6].script_pubkey_length,22,34
2643,2677,34,block.tx[8].vout[6].script_pubkey,5120e7775bc20e6e5393657201ba405d0c3509d3e61f83bbc1d4df6e4366d1e66893,5120e7775bc20e6e5393657201ba405d0c3509d3e61f83bbc1d4df6e4366d1e66893
2677,2678,1,block.tx[8].vin[0].witness_count,01,1
2678,2679,1,block.tx[8].vin[0].witness[0].length,40,64
2679,2743,64,block.tx[8].vin[0].witness[0].data,5f87e4c2af1bd352d2883e4506c9e87f93ee07c3caf4b9e11177e620cec74098ad95b314ed73e91270aad3cf5db88e68ca27eda6edbac91939aafd3e96f1ace3,5f87e4c2af1bd352d2883e4506c9e87f93ee07c3caf4b9e11177e620cec74098ad95b314ed73e91270aad3cf5db88e68ca27eda6edbac91939aafd3e96f1ace3
2743,2747,4,block.tx[8].locktime,ec350200,144876
2747,2751,4,block.tx[9].version,02000000,2
2751,2752,1,block.tx[9].marker,00,0 (SegWit marker)
2752,2753,1,block.tx[9].flag,01,1 (witness present)
2753,2754,1,block.tx[9].input_count,01,1
2754,2786,32,block.tx[9].vin[0].prev_txid_le,184d663a9031b5d3754654bb9d9a0a27b2cc2a2ba3497aee948d62a47dcd7251,184d663a9031b5d3754654bb9d9a0a27b2cc2a2ba3497aee948d62a47dcd7251
2786,2790,4,block.tx[9].vin[0].prev_vout,00000000,0
2790,2791,1,block.tx[9].vin[0].script_sig_length,00,0
2791,2791,0,block.tx[9].vin[0].script_sig,,
2791,2795,4,block.tx[9].vin[0].sequence,fdffffff,4294967293
2795,2796,1,block.tx[9].output_count,07,7
2796,2804,8,block.tx[9].vout[0].value_satoshi,d007000000000000,2000
2804,2805,1,block.tx[9].vout[0].script_pubkey_length,22,34
2805,2839,34,block.tx[9].vout[0].script_pubkey,5120cb8a87c15cbe81ec4d5382e6d2784de36d132258daa4741a24ac06aa9fb7d97f,5120cb8a87c15cbe81ec4d5382e6d2784de36d132258daa4741a24ac06aa9fb7d97f
2839,2847,8,block.tx[9].vout[1].value_satoshi,d007000000000000,2000
2847,2848,1,block.tx[9].vout[1].script_pubkey_length,22,34
2848,2882,34,block.tx[9].vout[1].script_pubkey,512073ab3063d08604cc0ea7d5df0cf33447453f14bc4a63455c3879aced7f0c7b47,512073ab3063d08604cc0ea7d5df0cf33447453f14bc4a63455c3879aced7f0c7b47
2882,2890,8,block.tx[9].vout[2].value_satoshi,a776e70000000000,15169191
2890,2891,1,block.tx[9].vout[2].script_pubkey_length,22,34
2891,2925,34,block.tx[9].vout[2].script_pubkey,51200fcd49f30f9013086fc5a1c1efa84ea111f689d714bbd27b4c91577271f4539a,51200fcd49f30f9013086fc5a1c1efa84ea111f689d714bbd27b4c91577271f4539a
2925,2933,8,block.tx[9].vout[3].value_satoshi,d007000000000000,2000
2933,2934,1,block.tx[9].vout[3].script_pubkey_length,22,34
2934,2968,34,block.tx[9].vout[3].script_pubkey,51203e4d488398745514dcb9acad959a099c568aaeb3df9401c3f17f7e57cabd5087,51203e4d488398745514dcb9acad959a099c568aaeb3df9401c3f17f7e57cabd5087
2968,2976,8,block.tx[9].vout[4].value_satoshi,d007000000000000,2000
2976,2977,1,block.tx[9].vout[4].script_pubkey_length,22,34
2977,3011,34,block.tx[9].vout[4].script_pubkey,5120981574af1ab2c22f2f5052635b9e7395ba699142f0b69470b3041a493e5c3acb,5120981574af1ab2c22f2f5052635b9e7395ba699142f0b69470b3041a493e5c3acb
3011,3019,8,block.tx[9].vout[5].value_satoshi,d007000000000000,2000
3019,3020,1,block.tx[9].vout[5].script_pubkey_length,22,34
